10	preface.md	著者本意	著者的本意	支持	对于什么是解释圣经的最好方法记得我们在三年前曾有过密切的交谈而你我都有共同的见解也就是好的解经帮在于平易简洁既然解经者唯
12	preface.md	上帝的	上帝的话	两者皆在	人二局蕉和敬的态度来处理上帝的话绝不应当本着不同的解释而离弃真道因南以兹不情重严漠的太度来角纪我于小相鱼上新的酋亚作到对
12	preface.md	你的交道	你我的交谊	皆不在	全和有有仆人下下所扫兴放去八八任职执且产刘全起由体东于晰咒不至于如此因为学者们都知道你我的交介所以你的评论反而更添我的光
14	preface.md	反过来	反过来说	两者皆在	摘论到信者之父的亚伯术罕当尊之为普遍的范例和榜样既证明他是因信称义保罗就教导我们不应主张其他称义之法反过来说他指示我们不
16	preface.md	睛	瞎	皆不在	到以色列人强过别人的那些特权随之用温柔的语气说到他心中所存的观点就是要除去由他们的眼圈而生出的罪他把亚伯拉竺的子孙分为两
17	preface.md	顽梗化	顽梗不化	支持	人在爱的条件之内之后他又加上先前所提过的训诲来指导信徒的生活在十四章提出当代所特别需要的劝勉因当时有些顽梗不化的人坚守摩
27	1.md	祈祷	祈求	支持	人下提疏小三二市出手瑟提有主佐仁讶有出持感排陈闸专心致志于上帝的工作的祈求当罗马人不在他心意中的时候保罗或许突然间提及此
29	1.md	分	本分	两者皆在	是过玫车度一人用出并司仆月有有册阻珊古修同用习后有又土大有肪和辟约束的时候只知他们是受拦阻以致不能行动但前者对根据证实的
32	1.md	惟有信才得享永久的生命	惟有信才能得享永久的生命	皆不在	虚伪想象自压但当他们正说平安稳妥的时候灾祸忽然来到帖前所以幻影是只存片时的惟独有信才能得永久的生命除了把我们领到上帝那里
33	1.md	段首	首页	皆不在	入四信行生贞以他作出结比志此生信古人桶音领及的我们已经得到本书首段的要点一一我们因信称义惟独借着上帝的怜悄关于此圳保罗虽
34	1.md	有些人不在不虔与不义之间	有些人在不虔与不义之间	皆不在	首凤一了人和上各不等八人本瓜有外页话思二有引了全世界都该受永死的刑罚因为我们县在自己里面丧亡了所以必当从史别的方法复得生
35	1.md	上帝的确证	有上帝的确证	两者皆在	叫人无可推盖这就清楚证明人从此有上帝的确证能得到什么那就是说人不能在上帝的审判台前说他被定罪是不公平的但我们应当知道上帝
36	1.md	为平等	列为平等	两者皆在	恶一一人人都有捏造迷信的自由这里所定罪的高傲就是人以自己为聪明把上帝从天上拉下来与自己种贱的地位列为平等其实他们应当自己
40	1.md	惜	借	支持	本尼他们虽知道上帝判定解经家对此名虽有各种不同的解释但我认为以下是最正确的解说人已经完全放弃自己毫无约束而犯罪借消除善恶
53	2.md	充足足	充充足足	皆不在	又深信自己保罗还承认狐太人有比以上所提更多的事他们不但自己有够用的教训还能去充充足地教导别人他姑且认为他们有丰富的知识以
54	2.md	奸恶	奸淫	皆不在	加节的一段上帝对恶人说你怎敢传说我的律例口中提到我的约入多其实你恨恶管教将我的言语委在背后你见了盗贼就乐意与他文同伙又与
55	2.md	遭受	遭遇	否证	割礼固然于你有益保罗预料到犹太人要为所遭受的攻击而辩护那就是说割礼既然是上帝立约的印记借此约拣选亚伯拉罕及其子孙特做他的
61	3.md	反对对而论	对反而论	皆不在	有离弃圣约的特权二上帝是真实的不论别人怎样解释本节经文我总认为这是所谓对反对而论的必然立场意思是说保罗企图打倒前面的反对
63	3.md	里	虽	支持	我们的不义若显出上帝的义来这虽离主题稍远但保罗必须引入这个思想免得给存恶心的人留下县送的机会这是他所识加破的他们既然寻找
63	3.md	一辩辞	一段辩辞	皆不在	贫和而从契加人容克他们的异议是欧资绝伦的此外为了证明此异议的不可能他就从上帝的职责中引出一段辩论一上帝要审判世界因此他绝
70	3.md	我们	他们	两者皆在	到割礼作为例子是仅指礼仪而言我们已经解释为什么保罗提到割礼因为只有假冒为善的人才靠行为我们也知道他们只以外表上的事自夸在
72	3.md	得上荣耀	算得上荣耀	两者皆在	的这人是有福的这定义是应用在服侍上帝有多年训练之后的大卫身上亚伯拉年在蒙召后三十年没有在上帝面前算得上荣耀的行为所以他信
75	3.md	说	诡	两者皆在	是罪人就没有力量所以哪里有罪若不是有基督将咒诅除掉那里就没有义是干真万确的这正是保罗在加拉太书章节所说的加凡在律法之下的
77	3.md	就越发光	就越发光明	两者皆在	来所以基督的降世乃是上帝所喜悦的时搬也是蒙拯救的日子上帝在历代中里然显示他公义的证据但当公义的日头出现的时候就越发光明所
78	3.md	这里所信信的律法	这里所说的律法	皆不在	人人克己日荔人广二时盐伍信主之法原文并无主字是和合本译者加添的吕氏译本译为赁着信的法英王钦定本译为一一译者按这里所说信的
80	3.md	之前的的不同前置词	之前的不同前置词	皆不在	虽振中译本把原文中两个信之前的不同前填词翻译出来他要因人的信称受审审为义也要任普人的信称没受审为义一一校译者广
81	3.md	得到法律正确的义	得到律法正确的义	皆不在	也归于徒然除了刺激人的贪欲之心外别无成就至终增加人的定条罪但当我们来到基督面前的时候我们首先在他里面得到律法正确的第义而
90	4.md	意思是说	这意思是说	两者皆在	失信二旧作改作各性虽人全二还才后心与信心的义放在相反的地位上这意思是说继承权是应许给亚伯拉军汶并非因他道守逢尘而得的妃是
92	4.md	激动	惹动	皆不在	哪里没有律法那里就没有过犯这是保罗用以坚固他以前所说的第二证明如果不清楚了解这个理由就很难看出如何营动上帝的从怒来抵挡我
103	5.md	进	进入	两者皆在	事我们得了和睦才得以进入上帝的国度保罗在此使我们看到在基督章里上帝的恩惠是我们确实的保证因此能够使我们不再依靠从行为而来
104	5.md	乃是可叹羡的高峰为目标	乃是以可叹羡的高峰为目标	皆不在	的危难并不阻碍他们的幸癌反之却能使他们荣上加荣保罗以患难所产生的结果来证明他所说的话保罗所用的方法乃是以可凌莫的高峰为目
114	5.md	决定	要决定	两者皆在	和重加一人用过绾和人怀少骨一伏振到基首渎亚当对比的不同之处保罗并不是要论到每一个特殊的题目他乃是要决定重要的中心思想他论
114	5.md	我们就是都是失丧的人	我们就都是失丧的人	支持	白的效免因为定罪乃是出于严厉的法律释放乃是出于赦免换句话说如果上帝以公正来对待我们我们就都是失丧的人但是他在基督里使我们
121	6.md	基督	基督徒	两者皆在	证旦了和全瑟人小岂贡昌网局对于保罗乃是以他一贯的论点在此向基督徒讲话洗礼虽是外表的记旦个具佣应产目守际的训轩和秆们向族有
121	6.md	基督	基督徒	两者皆在	他一趾会被信人徙们的信心坚定与认可简言之保罗教导我们什么才是洗礼的真理我们当怎样正确地接受洗礼他也见证说加拉太的基督徒凡
123	6.md	分有	有分	两者皆在	人已经与基叔同钉在十字架借着十字架的能力旧人才会被治死保罗在此明明地提到十字架为要使我们看到唯一能治死日人的方法是在基督
123	6.md	要使我们看到	为要使我们看到	两者皆在	八亡江本从本凡骨仁于于木提和站于隆宁时有陛凡旧入可全傣泊多保罗在此明明地提到十字架为要使我们看到唯一能治死上日人的方法是
124	6.md	效果	果效	支持	因为已死的人是脱离了罪保罗的论据是从内在的本性以及死亡的果效所推论出来的如果死能够叫一切生命的动作停止那么我们这些向罪死
125	6.md	萎缩	畏缩	皆不在	们绝对不能苦编或是不敢将肉体治死如果我们回到以前那样污秽的本活之中我们就是拒绝基督因为我们基非有新生命的样式就不能
126	6.md	伊拉谟斯	伊拉斯谟	皆不在	圣灵使你们所获得的新生命是永恒的要在你们里面存到永远我采取保罗原来的意义即在基督耶稣里伊拉斯席译为靠着基督耶稣并不正确因
131	6.md	威惧恐	威吓恐惧	支持	有一二从心里顺服了保罗在此再以圣灵内在的能力与律法外表的字句做为比较他似乎是说基督在我们心中成形比律法以威吓恐惧来揭强我
