0	10	55	NONE	
1	10	59	NONE	
2	102	419	NONE	
3	105	439	2	of Abraham, ^ Restore the man his	and thou shalt live. ^
4	107	451	NONE	
5	107	454	NONE	
6	107	458	NONE	
7	119	494	NONE	
8	119	508	NONE	
9	126	524	1	in the experience of Israel, when ^ the priests and the Levites
10	132	531	NONE	
11	139	547	NONE	
12	139	548	NONE	
13	140	551	NONE	
14	16	74	2	in the English version, ^ their sorrows shall be	be multiplied that hasten, ^ &c., gives the sense
15	16	76	2	in the preceding verse. ^ I am sure my	me up to the destroyer. ^ He does not say
16	17	79	2	of the tenses is significant. ^ I have invoked thee	that thou wilt hear me. ^ It is needless to
17	17	81	3	before both nouns— ^ from the men,	and from the evil world. ^ " World is then	the evil world." ^ World is then simply
18	18	85	NONE	
19	18	86	NONE	
20	2	25	1	never applied to ^ a particular country
21	20	100	1	his nature in his acts. ^ May those divine attributes
22	20	100	NONE	
23	20	101	2	the conjectural translation, ^ may we set up	(or display) a banner.^ But as the participle
24	22	106	8	abandonment on God's part. ^ Why hast thou left	myself finally deserted ? ^ The use of these	the idea of my strength. ^ Why hast thou, whom	me in this extremity ? ^ The last clause admits	several constructions. ^ Far from my deliverance	the words of my roaring, ^ i. e. they are	the words of my roaring ? ^ Or the same idea	by a simple affirmation : ^ (Thou art) far from
25	22	111	NONE	
26	25	121	NONE	
27	28	131	1	sufferer prays that he may ^ not be confounded with
28	32	147	NONE	
29	33	150	1	; the second, that ^ the phrase *it was done*
30	34	152	NONE	
31	37	171	NONE	
32	37	172	2	to the true Israel. ^ For the	they shall not rule. ^ Deut. xv. 6,
33	38	179	4	own mind when he ^ held his	he " held his peace ^ before the High Priest	xxvi. 62, 63), and ^ gave no answer	and " gave no answer ^ to the Roman Governor
34	4	31	NONE	
35	41	192	1	means spite or malice. ^ The ambiguous phrase to me
36	41	192	NONE	
37	43	202	NONE	
38	49	231	NONE	
39	5	35	2	to those ^ groanings which cannot	which cannot be uttered, ^ but are no less
40	51	238	NONE	
41	53	248	NONE	
42	55	254	NONE	
43	57	260	1	emergencies of other ^ saints. It is not
44	58	265	NONE	
45	58	265	NONE	
46	59	270	4	after a conditional clause— ^ if they are	they shall remain all night ^ —or	all night"—or ^ though they be not	must they remain all night. ^
47	73	317	NONE	
48	81	354	NONE	
49	84	363	1	really existing, ing, ^ and the giver of
50	87	372	NONE	
51	89	385	3	understood. ^ Why hast thou made	filled with suffering ? ^ Or,	suffering ? " Or, ^ why dost thou give
52	90	388	NONE	
53	90	390	10	govern the same object. ^ Who knows the	power of thine anger ? ^ " So make us	of thine anger ?" ^ So make us know	(the power of thine anger). ^ The first words of	knowledge was desired. ^ In order that we	our own mortality. ^ The common version of	interpreters suppose, ^ we will bring into	a heart of wisdom, ^ or " we will bring	of wisdom," or ^ we will bring (as	a heart of wisdom, ^ with allusion to Gen.
54	98	409	NONE	
