2	Mai.	Mal.	crop2
4	o/	of	crop2
4	room/or	room *for*	crop2
6	gener^	general	crop2
11	Mo^t	Most	crop2
12	\^i^	ארץ	crop2
12	7w	עליל	crop2
12	tV^	בעל	crop2
13	^ell-founded	well-founded	crop2
14	Oy>	יגל	crop2
16	TVi^y	שוח	crop2
16	Xy\1-	נוח	crop2
17	Hi^s	His	crop2
17	^IDD^	יכסוף	crop2
18	^^D	סלע	crop2
18	haters^	haters,	crop2
18	ny	יכחשו	crop2-sim
18	xx^iii.	xxviii	crop2
21	Kabbah	Rabbah	crop2
22	m£	me	crop2
22	th^	the	crop2
22	^HIO	כארי	crop2
22	D^lhiD	כארים	crop2
22	D\	כארים	crop2
22	1S3	כארים	crop2
22	D^S	כרים	crop2
22	lion-	lion.	crop2
22	IKS	כארי	crop2
22	wii	אלי	crop2
22	J^TjSt	אילת	crop2
24	SlJi/'?	לשוא	crop2
24	HU.^2	נשא	crop2
24	ii^i	נשא	crop2
24	2J^7	לשוא	crop2
24	K^J	נשא	crop2
24	ii.0	נשא	crop2
24	7not	not	crop2
25	Db'lVp	מעולם	crop2
25	translation/ro?w.	translation *from*	crop2
32	TDTl	חסיד	crop2
35	i^D	סגר	crop2
35	I^D	סגר	crop2
36	23rT	הגבר	crop2
36	Di^i	נאם	crop2
36	^^B	פשע	crop2
36	D^?2	נאם	crop2
36	yt£>l7	לרשע	crop2
37	\verb	verb	crop2
37	D''l3	כרים	crop2
37	upon/or	upon *for*	crop2
38	W^^n	חיים	crop2
39	mean/row	mean *from*	crop2
39	^li^lD	תושב	crop2
41	y^p	יקבץ	crop2
42	27ie	The	crop2
44	fi-auduleutiy	fraudulently	crop2
45	^y	ix.	crop2
46	u^.	us.	crop2
47	■IIDT	זמרו	crop2
49	re/rain	refrain	crop2
49	iinus	Sons	crop2
49	/or	for	crop2
49	whofolloio	who follow	crop2
49	dv/elling	dwelling	crop2
49	iopraise	to *praise*	crop2
49	a^	as	crop2
55	07ie	one	crop2
55	riytfiw.	ἡγεμών	crop2
55	fear-	fear	crop2
56	M«	put	crop2
56	lij	נוד	crop2
56	iXi	נאד	crop2
56	Mai.	Mal.	crop2
56	translated/c/Z/t/j^	translated *falling*	crop2
60	defence^	defence,	crop2
63	marrow^	marrow	crop2
63	ar?fZ	and	crop2
65	near^	near,	crop2
68	j^erhh	perish	crop2
68	/rom	from	crop2-sim
68	en\7	envy	crop2
68	implication/rom	implication *from*	crop2
69	of/or	of *for*	crop2
69	D?l£^	שלם	crop2
72	heplentij	be plenty	crop2
72	>n^	יהי	crop2
72	y?0M?•^s^	flourish	crop2
73	Said^	Said,	crop2
73	1^X?2	בעיר	crop2
73	6f	6,	crop2
73	T^S	בעיר	crop2
73	ITT3	בהעיר	crop2
80	^%/ace	thy face	crop2
84	PX	את	crop2
84	the/cms	the *fons*	crop2
84	IT^iD	מורה	crop2
84	mi^	יורה	crop2
86	ah-eady	already	crop2
87	^br/ree	for free	crop2
88	theeimiplies	thee implies	crop2
89	£fixed	fixed	crop2
89	D^2I1	רבים	crop2
90	apr-yer	a prayer,	crop2
91	means/rowi	means *from*,	crop2
93	\x.	lx.	crop2
99	lx\a.	lxvi.	crop2
100	iniH	הודו	crop2
102	preposition/rom	preposition *from*	crop2
102	h^	ברא	crop2
103	i'^rtdvfMiav	ἐπιθυμίαν	crop2
104	yiJ^	ארץ	crop2
104	monies	montes	crop2
104	phrase/oiy^	phrase *fowl*	crop2
107	2I£^iQ	מושב	crop2
109	vcr.	ver.	crop2
118	translated/a?/m^	translated *falling*	crop2
118	lyta	מועד	crop2
118	as/aras	as far as	crop2
118	cx\'i.	cxvi	crop2
119	DJ	גם	crop2
119	pj	גל	crop2
119	rwe	me	crop2-sim
122	ni^nii^	שחברה	crop2
130	watch/or	watch for	crop2
132	hasjhere	has here	crop2
132	prayer/or	prayer *for*	crop2
132	aficc^avrmv	ἀμαράντινον	crop2
132	CTifavov	στέφανον	crop2
135	sendelh	sendeth	crop2
136	plm-al	plural	crop2
139	/or	for	crop2
139	literally/ear/i&lt	literally *fearful*	crop2
139	j^^	לא	crop2
139	i^	לו	crop2
141	3My	My	crop2
144	ffe	He	crop2-sim
144	ti-usL	trust.	crop2
144	!^7NJ	אלוף	crop2
148	preposition/row	preposition *from*	crop2
24	makes ^&lt;^^^ a mere poetical variation	makes לשוא a mere poetical variation	manual-image
24	which gives ^&lt;')לשוא נשא; in both places,	which gives נשא לשוא, in both places,	manual-image
24	combination *b* ^&lt;נשא; T T occurs	combination נשא ל occurs	manual-image
24	personal pronoun (הוּא;^^)	personal pronoun (הוא)	manual-image
11	grammatical-	grammatical	crop2-dictgate-manual
18	oftvorthlessness	of worthlessness	crop2-dictgate-manual
48	mizmor	mizmôr	crop2-dictgate-manual
55	hnithemselves	but themselves	crop2-dictgate-manual
72	ienominatio	denominatio	crop2-dictgate-manual
73	toujnurs	toujours	crop2-dictgate-manual
103	auliendo	audiendo	crop2-dictgate-manual
110	juventu^	juventus	crop2-dictgate-manual
116	thankoflferings	thank-offerings	crop2-dictgate-manual
132	neighbournood	neighbourhood	crop2-dictgate-manual
139	foetus	fœtus	crop2-dictgate-manual
11	equally grammatical, tical but less natural	equally grammatical but less natural	manual-image
18	*7my strong enemy*	*my strong enemy*	manual-image
18	*my enemy strong,* maybe understood	*my enemy strong,* may be understood	manual-image
45	but as a.wife and mother	but as a wife and mother	manual-image
49	See above, on Ps. xxx\di. 1	See above, on Ps. xxxvii. 1	manual-image
80	literally/or *salvation to us.*	literally *for salvation to us.*	manual-image
85	strict sense of (\*nS) the particle	strict sense of (אך) the particle	manual-image
138	with strength in my aoul)	with strength in my soul)	manual-image
56	*wandering* ("Tj or נוד)	*wandering* (נד or נוד)	manual-image
