0	2	Adhonai	OK
1	2	Mai	Mal.
2	4	o/	of
3	4	room/or	room *for*
4	6	gener^	general
5	11	grammatical-	gramma-
6	11	Mo^t	Most
7	12	\^i^	ארץ
8	12	7w	עליל
9	12	tV^	בעל
10	13	^ell-founded	well-founded
11	14	Oy>	יָגֵל
12	16	TVi^y	שׁוּחַ
13	16	Xy\1-	נוּחַ
14	17	Hi^s	His
15	17	^IDD^	יִכְסוֹף
16	18	^^D	סֶלַע
17	18	oftvorthlessness	of worth-lessness
18	18	haters^	haters,
19	18	7my	?
20	18	ny	יִכָּחֲשׁוּ
21	18	xx^iii	xxviii
22	21	Kabbah	Rabbah
23	22	m£	me
24	22	th^	the
25	22	^HIO	כָּאֲרִי
26	22	D^lhiD	כָּאֲרִים
27	22	D\	כָּאֲרִים
28	22	1S3	כָּאֲרִים
29	22	D^S	כָּרִים
30	22	lion-	lion.
31	22	IKS	כָּאֲרִי
32	22	wii	אֵלִי
33	22	J^TjSt	אַיֶּלֶת
34	24	SlJi/'	לַשָּׁוְא
35	24	HU.^2	נָשָׂא
36	24	ii^i	נָשָׂא
37	24	^&lt	לַשָּׁוְא
38	24	^&lt	נָשָׂא לַשָּׁוְא
39	24	2J^7	לַשָּׁוְא
40	24	K^J	נָשָׂא
41	24	^&lt	נָשָׂא
42	24	ii.0	נָשָׂא
43	24	7not	not
44	24	^&lt	הוּא
45	25	Db'lVp	מֵעוֹלָם
46	25	translation/ro?w	translation *from*
47	32	TDTl	חָסִיד
48	35	i^D	סְגֹר
49	35	I^D	סָגַר
50	36	23rT	הַגֶּבֶר
51	36	Di^i	נְאֻם
52	36	^^B	פֶּשַׁע
53	36	D^?2	נְאֻם
54	36	yt£>l7	לָרָשָׁע
55	37	\verb	verb
56	37	D''l3	כָּרִים
57	37	upon/or	upon *for*
58	38	W^^n	חיים
60	39	mean/row	mean *from*
61	39	^li^lD	תּוֹשָׁב
62	41	y^p	יקבץ
63	42	27ie	The
64	44	fi-auduleutiy	fraudulently
65	45	^y	ix.
66	45	a.wife	?
67	46	u^	us.
68	47	■IIDT	זַמְּרוּ
69	48	mizmor	mizmôr
70	49	re/rain	refrain
71	49	iinus	Sons
72	49	xx\ii	xxvii
73	49	/or	for
74	49	whofolloio	who follow
75	49	dv/elling	dwelling
76	49	xxx\di	xxxvii.
77	49	iopraise	to *praise*
78	49	a^	as
79	55	hnithemselves	but them-selves
80	55	07ie	one
81	55	riytfiw	ἡγεμών
82	55	fear-	fear
