2	Adhonai	 clause. *The Lord,* not *Jehovah,* as in ver. 2, but *Adhonai,* the Hebrew word properly denoting *Lord* or *Soverei	?	22
2	Mai	Deut. xiv. 1, 2, xxxii. 6; Isa. lxiii. 16; Hos. xi. 1; Mai. i. 6; Rom ix. 4.) Nor will any explanation of the term	?	23
4	o/	of righteousness,* my righteous God! Compare *my hill* o/" *holiness,* Ps. ii. 6, and *his hill of holiness,* Ps	?	30
4	room/or	e heretofore experienced, *thou hast widened,* or made room/or *me,* the corresponding figure for relief. All he asks	?	30
6	gener^	* any remembrance of thee. *In Sheol,* the grave, as a gener^ receptacle, here parallel to *death,* and, like it, me	?	39
8	ver^e	milar to that of the expressions used in the preceding ver^e. <!-- PAGE 48 --> <span class="ax-anchor" id="psalms-8	verse	47
11	grammatical-	 and judge the conduct of his creatures. By an equally grammatical-, tical but less natural construction, the whole verse 	?	61
11	Mo^t	eech transferred from polytheism to the true religion. Mo^t probably, however, it was intended to express the fuln	?	62
12	\^i^	rth,* or earthy particles, it has been objected, that *\^i^* never means earth as a material. Some avoid this diff	?	64
12	7w	that they attach a supposititious meaning to the noun *7w)3-* It is therefore explained by some as a variation o	?	64
12	tV^	-* It is therefore explained by some as a variation of tV^, lord or master, and the whole clause made to mean, *p	?	64
13	^ell-founded	God, i. e.* one on whom I have a right to call, with a ^ell-founded hope of being heard. See above on Ps. iii. 8 (7).— *En	?	66
14	Oy>	 The common version is forbidden by the optative form *Oy>)* of the Hebrew verb, and by the masoretic interpuncti	?	70
16	TVi^y	6.—It has been disputed whether *שחת* is derived from *TVi^y* and means a pit, or from שחת and means corruption. Bo	?	76
16	Xy\1-	a different sense and gender, as derived from נחת and *Xy\1-* The use of this equivocal expression may have been in	?	76
17	l£^3!li	fe, called *deadly enemies* in the English version. Or l£^3!li may be construed with the verb: surround me eagerly (w	בְּנֶפֶשׁ	80
17	Hi^s	psalms-17-12"></span><span class="ax-vnum">12.</span> *Hi^s likeness (is) as a lion; he is craving to tear; and as	His	80
17	^IDD^	ix refers to the enemy as an ideal person. The future (^IDD^) means that he is just about to feel or gratify the ap	?	80
18	occm-s	ow, but am resolved to do so for ever. The verb itself occm-s nowhere else in its primitive form, but often in one o	occurs	83
18	^^D	ation of two different words in Hebrew. As the *rock* (^^D) of the first clause suggests the idea of concealment 	?	83
18	oftvorthlessness	allusion, in the figures of this verse, to the *floods oftvorthlessness* in ver 5 (4), and the *bands of hell* in ver. 6 (5). 	?	86
18	haters^	me from my enemy* (because he is) *strong, and from my haters^ because they are mightier than I.* The futures are to 	haters,	87
18	7my	*my enemy strong,* maybe understood as simply meaning *7my strong enemy*; but the true construction seems to be i	my	87
18	ny	 But as the corresponding form of the verb to *lie {Mi}ny)* is used by Moses actively in Deut. xxxiii. 29, to wh	?	92
18	xx^iii	e very same expressions are employed. Compare also Ps. xx^iii. 8, lxxxiv. 10 (9), and Ps. lxxxix, *passim.* <!-- PAG	?	94
