vol	scan_page	before	garbage	after	script	reading	conf
v1	96		(auf	s lauterste),	grc	(αυῇ Ἶ	78
v1	96		xa&otQov),	Vulgate (ad	grc	καϑαρόν)	89
v1	96		(-on	in the	heb	בכר)	93
v1	97	and Luther, understand by	msfcJ	her captivity	heb	טביה	89
v1	99	the action, like the	o/and	for in	eng	of and	97
v1	99		ous	destruction to	heb	פטס	80
v1	99	the ancient versions treat	"jbn	as an	heb	חסן	75
v1	100	tutelary god, and by	ibsfe	his	heb	פעלו	86
v1	100	Knobel, in attributing to	b?b	that spe	heb	פצל	81
v1	102	(Lu. Cler. Henders.), or	fitn	prophesied or	heb	חזה	92
v1	102	the titles, in which	ntn	and yitn	heb	חזה	86
v1	102	in which ntn and	yitn	occur, are	heb	חזון	93
v1	103	sense of	-pas	here is	grc	ΠΩΣ	66
v1	103	from the Jewish church	(xaiaJi&oms	i^v 2uav)	grc	(καταλέλοιπε	75
v1	106	context.—J. D. Michaelis thinks	dTp	here synonymous	heb	קדם	92
v1	106	an	apjfjjtf.	Vulg. sicut	grc	ἀρχῆς	95
v1	107	the text by reading	c&p	for mp	heb	קסם	90
v1	107	by reading c&p for	mp		heb	קדם	90
v1	111	Tarshish sea-faring vessels (Sept.	nhoiov	&a-	grc	πλοίον	91
v1	111		"jtfdwv	Sept. alibi),	grc	χηδῶν	89
v1	111		(tfp^-iStt	Targ. on	heb	אפריקא)	89
v1	112	tapestry (Calv.), ships (Sept.	/ru av	dear	grc	πὰ ὧν	74
v1	112		nlotwv xdMovg.	Henderson <	grc	πλοίων κάλλους	96
v1	112	of men be brought	loiv,	and Jehovah	grc	ἰοιυ	89
v1	113	been D^bxn b^s (like	Wrt	V^3 Judg.	heb	העיר	86
v1	114	word	^isrft,	as it	heb	לחפר	76
v1	114	of	isn,	to dig,	heb	חפר	66
v1	114	the true reading is	misnsnb	(Theodotion acpaQcpeQaft)	heb	לחפרפרות	89
v1	114	reading is misnsnb (Theodotion	acpaQcpeQaft)	a plural	grc	ἀφαρφερώϑ)	78
v1	115	H), but fissures (Sept.	axiapds,	Vulg. cavernas),	grc	σχισμᾶς	79
v1	118	sions (Sept.	Iff^vowtt	x«/ iG%vovGav.	grc	ἰσχύοντα	97
v1	118	giyfia.	xal ffTijQiypov),	and the	grc	καὶ στηριγμόν)	76
v1	118	idea here expressed by	^'sa	is	heb	פפיר	80
v1	118	strength and prowess (Sept.	yfyavta xal ia^vovia),		grc	γίγαντα καὶ ἰσχύονταλν	88
v1	119	Hg.) ; others take	nbp	in the	heb	קסם	91
v1	119	sense of elder (Sept.	HQeofivitQOv*	Lu. Aeltesten)	grc	πρεσβύτερον	97
v1	119	and the	slkilful artificer^	and the	eng	skilful artificer	92
v1	120		(ffoopoj' aQ/iTMTora),	Luther (weise	grc	(σοφὸν ἀρχιτέκτονα)	72
v1	120	whispering, by Aquila	(ovverov yi&vQtapw),	Cocceius (prudentem	grc	(συνετὸν ψιϑυρισμῷ)	88
v1	120	magical ceremonies, by Symmachus	(opiHa ptOT<*$),	the Vulgate	grc	(ὁμιλίᾳ μυστικῃ);	80
v1	121		(srttbri),	the Septuagint	heb	(חל שיא)	81
v1	121	(srttbri), the Septuagint	k^na.Uitu-9	the Vulgate	grc	ἐμπαίκται	90
v1	122	Vitringa and Lowth make	rnV	a verb,	heb	לכה	96
v1	125	Ewald separate sianb from	*nK	and connect	heb	אור	75
v1	125	struction, but take	sn	in the	heb	רצ	82
v1	125	in giving to	^TOS	the sense	heb	גמול	91
v1	127	taken from him by	vio		grc	ΨΙΟ	72
v1	128	holding it high (Sept.	vipylcp		grc	ὑψηλῷ	93
v1	128		iQaxfto))	j so	grc	τραχήλῳ)	93
v1	128	and eight manuscripts read	rvhjslfla,	deceiving, i.	heb	במפקרות	72
v1	128	expressed by the Septuagint	(tv vsvfiaaw ocp&alpwv),	the Vulgate	grc	(ἐν νεύμασιν ὀφϑαλμῶν)	80
v1	130	bracelets by the Septuagint	(t^'Mia)	and Ewald	grc	(ψέλλια)	89
v1	130	common oriental head-dress, from	Pjas	to wrap)	heb	צנף	86
v1	131	the Septuagint	(dtacpavij Aax&mxce),	Kimchi, Schroeder,	grc	(διαφανῆ λακωνικα)	75
v1	131	Vs. hoods) Henderson supposes	nie^s	to denote	heb	צנִיפות	83
v1	131	as the opposite of	casa,	viz. stench,	heb	צשם	73
v1	131	given in the Septuagint	(a%oivi(p		grc	(σχοινίῳ	97
v1	131	of gold, perhaps from	niBp	hard. It	heb	קשה	96
v1	131	reads ^:«	^na	as two	heb	פתי	66
v1	131	fulness or wideness (from	fina	to	heb	פתה	91
v1	132	nouns fitoso and	FJCJSB	are in	heb	מקשה	89
v1	133	passive of	nj?a	is taken	heb	נקה	89
v1	135	his evasion is an	arbi		grc	ΔΙΌΙ	73
v1	136	meaning his Messiah, (11*1	xmttE).	The	heb	((משיחא	70
v1	137	Jon. "pi	&n*rna),	and power	heb	(במרמרא	82
v1	138	The older writers give	"paa	the sense	heb	מכון	93
v1	138	—Lowth omits ^3 before	"paa	on the	heb	מכון	87
v1	139	serts it before	nx'ipE	on the	heb	מקראה	91
v1	139	as the Pual of	nsn	does not	heb	חפה	94
v1	139	of making	nss	the subject	heb	סכה	76
v1	142	belonging to him, like	irt	a Psalm	heb	לדוד	89
v1	143	Septuagint	(^eivi),	is entitled	grc	(ἔμεινε)	87
v1	143		n^ma	in the	heb	באשים	91
v1	147	all interpreters. Ewald regards	hi'n	as a	heb	הור	77
v1	147	of swearing, ' may	iube	so and	eng	it. be	85
v1	149	The same application of	o-^nxE	occurs in	heb	מאחרים	71
v1	151	and	ttfan	some understand	heb	חמונן	79
v1	151	tion.—The noun	Vixftj.	is derived	heb	שאול	74
v1	151	have been synonymous with	^>tB	to be	heb	שעל	79
v1	152	wees must refer to	bixsj,	the simplest	heb	שאול	88
v1	152	19: 29. By &a	tbs	he understands	heb	עכז	84
v1	153	Holy One. But as	bx	is itself	heb	אל	85
v1	153	(Deus sanctus fortissimus).—Hitzig gives	isipa	a	heb	נסדש	72
v1	154	sheep.—The Vulgate explains D^n^	nis^n	to mean	heb	חרבות	90
v1	155	ous readings,	n-.asa	for m23?a	heb	בעבות	82
v1	155	ous readings, n-.asa for	m23?a	(Bib. Soncin.,	heb	פפפות	67
v1	155	m23?a (Bib. Soncin., 14	MSS.), i^arc	for ibana	heb	כחבלר , (.55]	73
v1	155	14 MSS.), i^arc for	ibana	(1 MS.,	heb	בחבלי	87
v1	159	Saadias and Kimchi derive	nrn&a		heb	כסוחה	92
v1	159	derive the noun from	rriD	to sweep.—	heb	סוח	90
v1	159	gular suffix in	ft	has been	heb	לו	84
v1	160	Romans (Theodoret:	vovg 'Ptopaiovg dia rovrcav	{i'i|e), the	grc	τοὺς Ῥωμαίους διὰ τούτων	94
v1	161		tion	(quia). But	heb	מסנז	71
v1	161	foot, so they shoot	(ovrag	ex?o£ettotw),	grc	(οὕτως	97
v1	161	Henderson.)—The passive verb	larana	cannot be	heb	נחשבו	70
v1	161	unless the textual reading	*xwi	be retained,	heb	הטאג	75
v1	162	^ for is and	"riao	for ite;.	heb	ואור	91
v1	162	Vitringa still construes	*iis	separately, '	heb	אור	91
v1	167	the trinity in this	rQiadyiov	is the	grc	τρισάγιον	89
v1	168	with smoke. The words	n^Qsn niax	are explained	heb	אמות הספים	93
v1	169	text of which has	xarcmVt^o*,	I am	grc	κατανένυγμαι	81
v1	172	with respect to the	tQiadyiov	in v.	grc	τρισάγιον	92
v1	173	sometimes simply equivalent to	s<b,	or that	heb	לא	88
v1	173	exactly, by the Septuagint	(axojj ctxowm, {tt.KnovTe$ {tttyezs) ,	the Vulgate	grc	(ἀκοῇ ἀκούσετε, βλέποντες βλέψετε)	91
v1	173		(naQOipia.) , bq^vrag py	oQav x««	grc	(παροιμία), ὁρῶντας μὴ	96
v1	177	church, the	faifipa	xav3 zxlopiv	grc	λεῖμμα	95
v1	177	church, the faifipa xav3	zxlopiv %aQiTo$	(Rom. 11:	grc	ἐκλογὴν χάριτος	93
v1	177	a mere rabbinical conceit,	waa	has been	heb	מאבת	68
v1	181	the accents,	ftni ,	and translate	heb	נחת	72
v1	181	explained, not by supplying	m^Va	(Jarchi) or	heb	מלכות	75
v1	181	this alarm Isaiah \s	^fiffit,^ frft<?	tft« king.	eng	sent. to free	90
v1	184	to be derived from	"pfcft	(y£?) '	heb	הקיץ	75
v1	184	us level it (from	rtspa	a plain),	heb	בקעה	77
v1	185	forth), as identical with	X^EI	(i. q.	heb	רמלא	96
v1	185	1 : 6.) As	wp	means both	heb	קום	71
v1	188	and this out of	asm	'i aa,	heb	וחמש	67
v1	188	for a large number,	and^e	even in	eng	and five	87
v1	190	text, as he supposes	t&w&	to be	heb	עואלה	83
v1	190	the old explanation of	nbsttJ		heb	שאלה	82
v1	191	refuting the offered attestation,	nixbrr	is not	heb	הלאות	86
v1	193	been variously derived from	dbs	to	heb	עלם	92
v1	194	of the old version	na,Q&wog,	which	grc	πάρϑενος	89
v1	194		tion (rovro olov ytyovw	Iva filijgm&rj'x.	grc	οη (τοῦτο ὅλον γέγονεν	83
v1	194	(rovro olov ytyovw Iva	filijgm&rj'x.	r. A.),	grc	πληρωϑῆ᾽ κ	90
v1	196	occurrence. That	tw^c^iiclL_fic^jjrrences	should be	eng	two such occurrences	96
v1	196	words, simply because	th^y_^^re_both s^g-7Z5 orpledges	of a	eng	they were both signs or pledges	87
v1	199	remark that	rnn	is not	heb	הרה	85
v1	199	gint ($;£(,	rt^srai)	is retained	grc	τέξεται)	89
v1	199	feminine, analogous to	rtrs	(Lev. 25:	heb	עשת	82
v1	200	changed into the plural	xatiaovtii,		grc	καλέσουσι	90
v1	201	of the person mentioned,	iite'ib	is explained	heb	לדעתו	84
v1	201	before he knows (LXX	TTQIV	q yvtivai).	grc	πριν	67
v1	201	knows (LXX TTQIV q	yvtivai).	The Vulgate,	grc	γνῶναι)	87
v1	201	ceding, namely,	Immanuelrthe	child whose	eng	Immanuel, the	95
v1	202	ceeding one another,	dp	not speak	grc	ἄρ	82
v1	205	no need of making	nj<	a preposition	heb	את	97
v1	206	verb	JO^P ,	which may	heb	רביא	82
v1	206	land (Barnes). By making	ri^p	denote the	heb	קצה	93
v1	207	away. The words iim	"f^n	are rejected	heb	במלך	90
v1	208	so,	irnisiu	cannot be	heb	שכירה	81
v1	208	to read ii^b ^7?5'	smce tne	article before	eng	since the	96
v1	208	by poetic license, and	I?P)	is construed	heb	הער	70
v1	208	Instead of hired	(pspia&copsvcp),	the Alexandrian	grc	(μεμισϑωμένῳ)	81
v1	208	reads drunken	((u-ps&vGftwcp) ,	which is	grc	(μεμεϑυσμένῳ)	88
v1	208	The rabbinical interpretation of	nsND		heb	שכר	84
v1	212	understand	E^n	itself as	heb	הרים	89
v1	213	commonly adopted, which takes	Kiaft	as the	heb	תבוא	77
v1	215	Peshito make it imperative	(jjtd^ivgds fjtoi noirfiov),		grc	(μάρτυράς μοι ποίησον);	95
v1	216	for the kingdom and	nft	for the	grc	ηϑι	76
v1	217	speak to me again	(ov	further) saying,	heb	זס)	85
v1	218	twofold sense, or take	&NE	in that	heb	מאס	90
v1	218	&io», the infinitive of	&OE	to	heb	מסס	90
v1	220	of the Septuagint, read	isn	know ye,	heb	דעו	94
v1	221		IxGTctGei	(Acts 11:	grc	ἐχστάσει	84
v1	221	(Acts 11: 5), Iv	Svvapei	xcu yrvsv^an	grc	δυναμει	87
v1	221	5), Iv Svvapei xcu	yrvsv^an ayity	(1 Thess.	grc	πνεύματι ἁγίῳ	96
v1	222	verbal noun resembling	&Oin	in its	heb	מורא	88
v1	223		ISATAH,	CHAP. VITI.	grc	ΙΒΑΤΑΗ	76
v1	223	that ama bears to	iK^n	and -piya	heb	תיראו	83
v1	223	to the Greek TO	ayiov,	the	grc	αγιον	83
v1	223	is applied to Christ,	jj z/pj	seems	grc	ἡ τιμή	92
v1	224	ative of	nsis	to form,	heb	צזר	66
v1	224	that the preposition before	^xb	does not	heb	למדר	81
v1	226	the accents by separating	xb	^DX from	grc	ΝΘ	66
v1	226	say,' etc. Junius takes	xb	ex	heb	לא	68
v1	226	as equivalent to	xbn,	which it	heb	הלא	70
v1	226	Knobel refers to the	xbn	in v.	heb	הלא	96
v1	226	separated from	xb	ex by	heb	לא	78
v1	229	Septuagint version (<7xoro£ wore	py (SiUVrm).	The true	grc	μὴ βλέπειν)	96
v1	229	read either ^£S or	nmao,	and Kocher	heb	מנדחה	83
v1	229		nbsx ^ ms-a.	On the	heb	מנדח אל אפלה	84
v1	229	who connects ITHSE with	qisn,	and puts	heb	מעוף	75
v1	231	verse. Hitzig explains c^n	a<b	as a	heb	כא	80
v1	231	i. e. light, as	yy xb	(ch. 10	heb	לא עץ	89
v1	233	distress.—DeDieu and Fiirst make	MaVs	a simple	heb	צלמות	90
v1	233	a simple derivative of	n^t	with	heb	צלם	92
v1	233	a feminine termination, like	msba	from "jba.	heb	מלכות	89
v1	234	p. 110). Syrnmachus separates	nbian	from what	heb	הגדלת	92
v1	234	nbian from what follows	(InMi&wag	TO	grc	(ἐπλήϑυνας	92
v1	234	f&vog o	ovx IfieydJiwai),	in which	grc	οὐκ ἐμεγάλυνας);	95
v1	234	textual reading	(xb)	be retained,	heb	(לא)	92
v1	234	in the English version.	"^sps	is not	heb	בקציר	92
v1	234	reading for	vsp	or T'spn,	heb	קציר	93
v1	234	reading for vsp or	T'spn,	which we	heb	הקציר	86
v1	235	in the preceding verse	(fx::	^r^). See	heb	בארץ)	85
v1	235	to all the people	(navrl	7$ lay),	grc	(παντὶ	96
v1	235	to the oppressed, and	aaia	includes not	heb	טכם	92
v1	236	The absolute form of	1'baO	is	heb	סבלו	67
v1	238	ciently apparent from the	oroVqv tni(jvv?iytiwqv	of the	grc	στολὴν ἐπισυνηγμένην	91
v1	238	the melee. The phrase	tite'na	qualifies te,xb	heb	ברעש	90
v1	238	fire (urs	nbaxa)	will certainly	heb	(מאכלת	79
v1	238	will certainly be burned	(ftB^irb rwn).		heb	(היתה לשרפה)	69
v1	239	verb	fi^pi	may agree	heb	יקרא	70
v1	239	conversi^e renders the futures	*nrn	and 5O£^	heb	ותהר	69
v1	239	titles, and takes i^'U	x-ifsi	absolutely in	heb	יקרא	68
v1	239	according to invariable usage,	IEE	must have	heb	שמן	91
v1	240	themselves is changed,	s^z	is either	heb	פכא	68
v1	240	itself is joined with	iina	^s, as	heb	גבור	92
v1	240	^2	iax	is explained	heb	אב"	84
v1	241	re-unite the divided house	~of	Israel, although	grc	«οἵ	78
v1	241	Peace, though included in	wbiu,	is not	heb	שלום	69
v1	241	verb is introduced before	KD=>	}a by	heb	כסא	87
v1	243		MNSp	expresses the	heb	קנאה	93
v1	245	letter of the word	S-QIB	presents the	heb	מזרבה	73
v1	246	in the Masora, viz.	mia^n nz-i	tb—to them	heb	רבח המשרה	95
v1	246	of the abbreviation	nb	for crib,	heb	לם	88
v1	247	motion. The Septuagint renders	^BU	came, the	heb	נפל	71
v1	248	from the fact that	lEStb	always stands	heb	לאמר	89
v1	248	Its real antecedent is	fcsn,	as the	heb	העם	68
v1	248	makes people govern Ephraim	(nas	6 ).abs	grc	(πᾶς	96
v1	248	govern Ephraim (nas 6	).abs TOV 'EyQaifi) ',	but in	grc	λαὸς τοῦ ᾿Εφραϊμ) :	77
v1	248	noun with what follows,	bx*	is inaccurately	heb	גדל	85
v1	248	sisb, by the Septuagint	(vi/^ij %aQdfa)t		grc	(ὑψηλῇ καρδίᾳ)	93
v1	249	to overlook the preposition,	irx	is not	heb	אמר	83
v1	249	w^ to 1ST1 (Houbigant),	iinT*		heb	לרברו	85
v1	250	verse). The suffix in	T^S	refers, not	heb	עליו	88
v1	250	with the verb	aaar,	the preposition	heb	רשגב	83
v1	250	by the Septuagint scatter	(faaaxedadei)	and by	grc	(διασκεδάσει)	93
v1	251	adopts this version, explains	rs	as a	heb	את	88
v1	251	described in Hebrew, na	b=a	does not	heb	בכל	89
v1	251	lis makes	nxt b=n	mean on	heb	בכל זאת	90
v1	252	a collective. The preposition	*iy,	which strictly	heb	עד	90
v1	252	this preposition often follows	stt)	when used	heb	שב	82
v1	252	an idiomatic substitute for	bx.		grc	ὌΝ	72
v1	252	A single manuscript reads	bs>	for is.	heb	על	89
v1	252	and suffix in	inasn	is regarded	heb	המכהו	91
v1	252	peculiarity the Hebrew name	fiss	and the	heb	כפה	92
v1	252	to the Greek word	fyepcov.	Palm and	grc	ἡγεμών	95
v1	253	resolved by the Septuagint	(pfyav	*a.\	grc	(μέγαν	96
v1	253		pixoov),	and strangely	grc	μικρό»);	84
v1	253	On the meaning of	-jpt	and	heb	זקן	92
v1	253	lies — but	{"HIE	is properly	heb	מורה	90
v1	253	revealed. The Targum makes	K*oa	denote a	heb	נברא	80
v1	253		("istj)	or doctor	heb	(ספר)	93
v1	254	where the verb	sba	occurs in	heb	בלע	85
v1	254	rejected also. Luther explains	Tnma	as meaning	heb	מאשרין	72
v1	255	Henderson refers it to	"n^xa	as its	heb	מאשרר	78
v1	255	the true antecedent is	DStt	(such of	heb	הכם	82
v1	255	Septuagint	(atofioi).	This explanation	grc	(ἀνομοι)	90
v1	255	Calvin explains	ii^sa	12*1 as	heb	נבלה	92
v1	255	well as act. For	ins,	Lowth reads	heb	אדנר	83
v1	256	son gives	nsun	the specific	heb	רשכה	81
v1	256	together. The meaning of	niso	is not	heb	גאות	90
v1	257	the same thing as	fc'nain	the other.	heb	מנביום	92
v1	257	subject of	iVorr	is not	heb	יחמכלו	66
v1	258	this verb agree with	urx	in v.	heb	איש	66
v1	258	the Hebrew etymology (compare	cnb	and c^?)	heb	לחם	70
v1	258	the text by reading	isn	for	heb	רעו	89
v1	258		(jov ad&yov avrov)	which varies	grc	(τοῦ ἀδελφοῦ αὐτοῦ)	95
v1	258	from the common reading	(jov @Qa%iovog		grc	(τοῦ βραχίονος	96
v1	258		avvov).		grc	αὐτοῦ)	95
v1	259	and Umbreit, also explain	P.X	as a	heb	את	94
v1	259	the Septuagint, which takes	r.x	as the	heb	את	94
v1	261	here substantially synonymous, as	Ppn	originally	heb	חקק	89
v1	261	the Septuagint renders both	ygdcpovGi.	The meta	grc	γράφουσι	93
v1	261	The primary sense of	h,ix	seems to	heb	און	93
v1	262	by the verb directly	pxx/UVoyrfff XQIGIV TTTCO^V).	This	grc	(ἐκκλίνοντες χρίσιν πτωχῶν)	84
v1	263	most frequently the latter,	naoia	originally signifies	heb	טואה	90
v1	263	be alluded to.	sonn pnTaa	is properly	heb	ממרחק תבוא	92
v1	263	connexion simply equivalent to	bx.	The idea	heb	אל	76
v1	264	•^B"1. DeDieu makes	TW	and ftf-nn	heb	אסלר	79
v1	264	For CTO, Seeker reads	tnrs		heb	ביום	93
v1	265	verse with the next	(r^v ony^v pov		grc	(τὴν ὀργὴν μου	93
v1	265	use of the word	^la	in application	heb	גור	73
v1	265	the sense by omitting	^mss (rop	spy	grc	"52: (τῷ	67
v1	266		nexion	between this	heb	מסנאסת	67
v1	266	corresponding to the Greek	pfyaloi fiuaifaTs, flaadsie jWtAeW,		grc	μέγαλοι βασιλεῖς, βασιλεῖς βασιλέων	79
v1	266	called by the Greeks	KIQXTJGIOV,	and in	grc	Κιρχήσιον	90
v1	268	retained by Theodotion	(rov eidottov),	the Vulgate	grc	(τοῦ εἰδώλου)	95
v1	268	in his own (pro	eo	quod requi-	grc	σο	88
v1	268	rebat TO	TTQMOV	personae, substituitur	grc	πρέπον	90
v1	269	Thesaurus s. v.), that	xbn,	as used	heb	הלא	76
v1	269	the former	Idov,	may prove	grc	ἰδού	96
v1	269	is the omission of	s^n	altogether. Luther,	heb	הלא	95
v1	269	rendered by the Septuagint	(XSIQQTTODJTOIS, sidotioii),	the Vulgate	grc	(χειροποιήτοις, εἰδώλοις)	95
v1	270	noting place, e. g.	'psa	at the	heb	בצין	78
v1	270	I Sam. 29: 1,	*QD "inaa	by the	heb	בטור פבר	71
v1	270	Michaelis and Gesenius translate	"ipSK	as a	heb	אפקד	91
v1	271	giving to the verb	"ipsx	the	heb	אפקד	91
v1	271	another	(fcwi'rob w^aa) ;	but the	heb	; (ממדונא למדינא)	85
v1	271		nrnrmw	is variously	heb	עתידותיהם	70
v1	271	rendered by the Septuagint	(cqv iayvv avtmv),	Junius	grc	(τὴν ἰσχὺν αὐτῶν)	95
v1	272	some writers explain	t^w	as meaning	heb	רשבים	68
v1	272	breit, Knobel), and	irvnin	in the	heb	הורדתי	67
v1	272	past exploits. Clericus renders	b^n	by	heb	חיל	84
v1	273	ala). The construction of	r.ssxa	as a	heb	מצפצס	92
v1	273	: 2.) The preposition	bs	therefore does	heb	על	94
v1	273	sense is put upon	b^sm	by Luther	heb	לתגדל	87
v1	274	(oo£ av tig «'«??	gdpdov),	but	grc	ῥάβδον);	94
v1	274	correspondence of Jpiia and	d^na.	The	heb	כהרים	67
v1	274	: 21, ttJ^-J& and	&IK-&&	Isai. 31:	heb	לא-אדם	88
v1	275	and material. The preposition	rnn	may	heb	החת	82
v1	275	make	"ip"1	a transitive	heb	רקד	86
v1	276	5: 2), the idea	ofjlre	is de	eng	of fire	96
v1	276	cognate but distinct form	(^itf).	According to	heb	(אור)	90
v1	276	Vulgate even renders	vsb	in igne	heb	לאט	75
v1	276	then under the names	"Qyog,	Horns, probably	grc	Ὥρος	77
v1	276	the early Jews read	visvip	as	heb	קדושו	76
v1	277	Rosenmuller and August!, take	iVa^o	as a	heb	כרמלו	91
v1	277	*o a pasture, and	s&v	full (Vitringa)	heb	מלא	92
v1	277	fruitful	Jield	the country	grc	Ποία	67
v1	278	both to men	(ITSD)	and to	heb	( כפט)	75
v1	278	ceius makes	bt>2	the nominative	heb	נסס	85
v1	278	bt>2 the nominative before	r^n,	Junius the	heb	היה	78
v1	278	ing. Aben Ezra makes	biO'Q	a noun	heb	מסוס	88
v1	278	it the infinitive of	ep^a	to melt,	heb	מסס	84
v1	278	explains	bbb	as a	heb	נסס	91
v1	278	The ancient versions make	bb'3	the participle	heb	נסס	90
v1	278	home. Cocceius explains	bbb	to mean	heb	נסס	91
v1	278	derives the meaning of	bbb	from b5,	heb	נסס	81
v1	278		bbtt	of the	heb	מסס	93
v1	279	both 009 and	oob	by o	heb	נסס	89
v1	279	and oob by o	qpei'ycov,	and adds	grc	φεύγων	96
v1	279	o qpei'ycov, and adds	ano qiloybs xcHO/ueVi/?,	upon which	grc	ἀπὸ φλογὸς καιομένης	92
v1	280		ance.	On this	grc	ΔΏΟΘ	86
v1	284	Umbreit make	nxifis	an adjective,	heb	נחרצה	79
v1	284	earth, like the Septuagint	(otxovft&tj).	This verse	grc	(οἰκουμένη)	93
v1	286	both zs t and	^QX	to God's	heb	אפר	74
v1	286	Ewald, Umbreit, Knobel, refer	nst	to God's	heb	זעם	81
v1	286	Israel, and	^QK	to his	heb	אפר	76
v1	286	an end — and	ost	its appropriated	heb	זעם	89
v1	287	already). For nrvbnn (from	r&s)	some MSS.	heb	(בלה	90
v1	287	suffix in waa to	^rtuJx,	by which	grc	ΩΝ	67
v1	287	Lowth reads	fc^EStt)	on the	heb	שכמכם	69
v1	287	authority of the Septuagint	(anb rav		grc	(ἀπὸ τῶν	96
v1	288	of my name, or	IEE *a-E % tfAe	sows o/^7	heb	6 0 מבנל שמן	71
v1	288	"jEtti, some give to	^as	its strict	heb	פנר	75
v1	291	The form of the	ori		grc	ΟΙ	77
v1	292	Grotius and others render	nwb "n^pfi		heb	חקשיבי לישה	88
v1	292	verb—cause Laishah to hear—but	^prt	always means	heb	הקשיב	91
v1	292	a proper name with	n^a	left out	heb	ב"ת	88
v1	292	cognate forms mas and	niras.	The posi	heb	ענתות	81
v1	293	deriving it apparently from	tts,	and a	grc	ΤΊΣ	81
v1	293	put upon	-ras	as signifying	heb	עמד	92
v1	293	or arrival, and upon	ti'*n	as an	heb	היום	76
v1	294	usual combination, the phrase	VP:Z	ma. ^n	heb	ציון	93
v1	294		r,soa ;	but it	heb	; מסעף	78
v1	294	verb to be.—rnse (from	'nxQ	to adorn)	heb	פאר	85
